04bf : add al, 0xbf
04c0 : add al, 0xc0
04c1 : add al, 0xc1
04c2 : add al, 0xc2
04c3 : add al, 0xc3
04c4 : add al, 0xc4
04c5 : add al, 0xc5
04c6 : add al, 0xc6
04c7 : add al, 0xc7
04c8 : add al, 0xc8
04c9 : add al, 0xc9
04ca : add al, 0xca
04cb : add al, 0xcb
04cc : add al, 0xcc
04cd : add al, 0xcd
04ce : add al, 0xce
04cf : add al, 0xcf
04d0 : add al, 0xd0
04d1 : add al, 0xd1
04d2 : add al, 0xd2
04d3 : add al, 0xd3
04d4 : add al, 0xd4
04d5 : add al, 0xd5
04d6 : add al, 0xd6
04d7 : add al, 0xd7
04d8 : add al, 0xd8
04d9 : add al, 0xd9
04da : add al, 0xda
04db : add al, 0xdb
04dc : add al, 0xdc
04dd : add al, 0xdd
04de : add al, 0xde
04df : add al, 0xdf
04e0 : add al, 0xe0
04e1 : add al, 0xe1
04e2 : add al, 0xe2
04e3 : add al, 0xe3
04e4 : add al, 0xe4
04e5 : add al, 0xe5
04e6 : add al, 0xe6
04e7 : add al, 0xe7
04e8 : add al, 0xe8
04e9 : add al, 0xe9
04ea : add al, 0xea
04eb : add al, 0xeb
04ec : add al, 0xec
04ed : add al, 0xed
04ee : add al, 0xee
04ef : add al, 0xef
04f0 : add al, 0xf0
04f1 : add al, 0xf1
04f2 : add al, 0xf2
04f3 : add al, 0xf3
04f4 : add al, 0xf4
04f5 : add al, 0xf5
04f6 : add al, 0xf6
04f7 : add al, 0xf7
04f8 : add al, 0xf8
04f9 : add al, 0xf9
04fa : add al, 0xfa
04fb : add al, 0xfb
04fc : add al, 0xfc
04fd : add al, 0xfd
04fe : add al, 0xfe
04ff : add al, 0xff
0800 : or byte ptr [rax], al
0801 : or byte ptr [rcx], al
0802 : or byte ptr [rdx], al
0803 : or byte ptr [rbx], al
0806 : or byte ptr [rsi], al
0807 : or byte ptr [rdi], al
0808 : or byte ptr [rax], cl
0809 : or byte ptr [rcx], cl
080a : or byte ptr [rdx], cl
080b : or byte ptr [rbx], cl
080e : or byte ptr [rsi], cl
080f : or byte ptr [rdi], cl
0810 : or byte ptr [rax], dl
0811 : or byte ptr [rcx], dl
0812 : or byte ptr [rdx], dl
0813 : or byte ptr [rbx], dl
0816 : or byte ptr [rsi], dl
0817 : or byte ptr [rdi], dl
0818 : or byte ptr [rax], bl
0819 : or byte ptr [rcx], bl
081a : or byte ptr [rdx], bl
081b : or byte ptr [rbx], bl
081e : or byte ptr [rsi], bl
081f : or byte ptr [rdi], bl
0820 : or byte ptr [rax], ah
0821 : or byte ptr [rcx], ah
0822 : or byte ptr [rdx], ah
0823 : or byte ptr [rbx], ah
0826 : or byte ptr [rsi], ah
0827 : or byte ptr [rdi], ah
0828 : or byte ptr [rax], ch
0829 : or byte ptr [rcx], ch
082a : or byte ptr [rdx], ch
082b : or byte ptr [rbx], ch
082e : or byte ptr [rsi], ch
082f : or byte ptr [rdi], ch
0830 : or byte ptr [rax], dh
0831 : or byte ptr [rcx], dh
0832 : or byte ptr [rdx], dh
0833 : or byte ptr [rbx], dh
0836 : or byte ptr [rsi], dh
0837 : or byte ptr [rdi], dh
0838 : or byte ptr [rax], bh
0839 : or byte ptr [rcx], bh
083a : or byte ptr [rdx], bh
083b : or byte ptr [rbx], bh
083e : or byte ptr [rsi], bh
083f : or byte ptr [rdi], bh
08c0 : or al, al
08c1 : or cl, al
08c2 : or dl, al
08c3 : or bl, al
08c4 : or ah, al
08c5 : or ch, al
08c6 : or dh, al
08c7 : or bh, al
08c8 : or al, cl
08c9 : or cl, cl
