Hexa,Instruction,Type
045d,"add al, 0x5d",2-byte
045e,"add al, 0x5e",2-byte
045f,"add al, 0x5f",2-byte
0460,"add al, 0x60",2-byte
0461,"add al, 0x61",2-byte
0462,"add al, 0x62",2-byte
0463,"add al, 0x63",2-byte
0464,"add al, 0x64",2-byte
0465,"add al, 0x65",2-byte
0466,"add al, 0x66",2-byte
0467,"add al, 0x67",2-byte
0468,"add al, 0x68",2-byte
0469,"add al, 0x69",2-byte
046a,"add al, 0x6a",2-byte
046b,"add al, 0x6b",2-byte
046c,"add al, 0x6c",2-byte
046d,"add al, 0x6d",2-byte
046e,"add al, 0x6e",2-byte
046f,"add al, 0x6f",2-byte
0470,"add al, 0x70",2-byte
0471,"add al, 0x71",2-byte
0472,"add al, 0x72",2-byte
0473,"add al, 0x73",2-byte
0474,"add al, 0x74",2-byte
0475,"add al, 0x75",2-byte
0476,"add al, 0x76",2-byte
0477,"add al, 0x77",2-byte
0478,"add al, 0x78",2-byte
0479,"add al, 0x79",2-byte
047a,"add al, 0x7a",2-byte
047b,"add al, 0x7b",2-byte
047c,"add al, 0x7c",2-byte
047d,"add al, 0x7d",2-byte
047e,"add al, 0x7e",2-byte
047f,"add al, 0x7f",2-byte
0480,"add al, 0x80",2-byte
0481,"add al, 0x81",2-byte
0482,"add al, 0x82",2-byte
0483,"add al, 0x83",2-byte
0484,"add al, 0x84",2-byte
0485,"add al, 0x85",2-byte
0486,"add al, 0x86",2-byte
0487,"add al, 0x87",2-byte
0488,"add al, 0x88",2-byte
0489,"add al, 0x89",2-byte
048a,"add al, 0x8a",2-byte
048b,"add al, 0x8b",2-byte
048c,"add al, 0x8c",2-byte
048d,"add al, 0x8d",2-byte
048e,"add al, 0x8e",2-byte
048f,"add al, 0x8f",2-byte
0490,"add al, 0x90",2-byte
0491,"add al, 0x91",2-byte
0492,"add al, 0x92",2-byte
0493,"add al, 0x93",2-byte
0494,"add al, 0x94",2-byte
0495,"add al, 0x95",2-byte
0496,"add al, 0x96",2-byte
0497,"add al, 0x97",2-byte
0498,"add al, 0x98",2-byte
0499,"add al, 0x99",2-byte
049a,"add al, 0x9a",2-byte
049b,"add al, 0x9b",2-byte
049c,"add al, 0x9c",2-byte
049d,"add al, 0x9d",2-byte
049e,"add al, 0x9e",2-byte
049f,"add al, 0x9f",2-byte
04a0,"add al, 0xa0",2-byte
04a1,"add al, 0xa1",2-byte
04a2,"add al, 0xa2",2-byte
04a3,"add al, 0xa3",2-byte
04a4,"add al, 0xa4",2-byte
04a5,"add al, 0xa5",2-byte
04a6,"add al, 0xa6",2-byte
04a7,"add al, 0xa7",2-byte
04a8,"add al, 0xa8",2-byte
04a9,"add al, 0xa9",2-byte
04aa,"add al, 0xaa",2-byte
04ab,"add al, 0xab",2-byte
04ac,"add al, 0xac",2-byte
04ad,"add al, 0xad",2-byte
04ae,"add al, 0xae",2-byte
04af,"add al, 0xaf",2-byte
04b0,"add al, 0xb0",2-byte
04b1,"add al, 0xb1",2-byte
04b2,"add al, 0xb2",2-byte
04b3,"add al, 0xb3",2-byte
04b4,"add al, 0xb4",2-byte
04b5,"add al, 0xb5",2-byte
04b6,"add al, 0xb6",2-byte
04b7,"add al, 0xb7",2-byte
04b8,"add al, 0xb8",2-byte
04b9,"add al, 0xb9",2-byte
04ba,"add al, 0xba",2-byte
04bb,"add al, 0xbb",2-byte
04bc,"add al, 0xbc",2-byte
04bd,"add al, 0xbd",2-byte
04be,"add al, 0xbe",2-byte
04bf,"add al, 0xbf",2-byte
04c0,"add al, 0xc0",2-byte
04c1,"add al, 0xc1",2-byte
04c2,"add al, 0xc2",2-byte
04c3,"add al, 0xc3",2-byte
04c4,"add al, 0xc4",2-byte
04c5,"add al, 0xc5",2-byte
04c6,"add al, 0xc6",2-byte
04c7,"add al, 0xc7",2-byte
